Period and Financial year,Reporting Period,Days in period,Period beginning,Period ending,Bus journeys (m),Underground journeys (m),DLR Journeys (m),Tram Journeys (m),Overground Journeys (m),Emirates Airline Journeys (m),TfL Rail Journeys (m)
11_17/18,11,28,07-Jan-18,03-Feb-18,175.2,105.5,9.3,2.2,14.8,0.1,3.7
12_17/18,12,28,04-Feb-18,03-Mar-18,168.7,105.3,9.3,2.2,14.1,0.1,3.4
13_17/18,13,28,04-Mar-18,31-Mar-18,176.5,105.3,8.7,2.2,15.1,0.1,3.3
01_18/19,1,28,01-Apr-18,28-Apr-18,165.9,103.5,9.4,1.9,14.7,0.1,3.5
02_18/19,2,28,29-Apr-18,26-May-18,179.6,105.6,9.7,2.3,14.4,0.1,3.7
03_18/19,3,28,27-May-18,23-Jun-18,173.9,104.4,9.2,2.3,14.3,0.1,4.2
04_18/19,4,28,24-Jun-18,21-Jul-18,177.8,109.0,9.6,2.4,14.8,0.1,4.5
05_18/19,5,28,22-Jul-18,18-Aug-18,151.5,100.4,9.0,2.1,14.0,0.2,4.1
06_18/19,6,28,19-Aug-18,15-Sep-18,162.1,97.5,8.6,2.2,14.1,0.1,4.1
07_18/19,7,28,16-Sep-18,13-Oct-18,183.7,109.9,9.6,2.4,15.8,0.1,4.7
08_18/19,8,28,14-Oct-18,10-Nov-18,175.2,112.7,10.1,2.3,15.6,0.1,4.7
09_18/19,9,28,11-Nov-18,08-Dec-18,180.5,118.2,9.9,2.4,15.6,0.1,4.6
10_18/19,10,28,09-Dec-18,05-Jan-19,144.9,91.9,7.5,1.9,11.6,0.1,3.9
11_18/19,11,28,06-Jan-19,02-Feb-19,171.3,106.7,9.3,2.2,14.5,0.1,4.6
12_18/19,12,28,03-Feb-19,02-Mar-19,171.3,110.8,9.7,2.2,14.4,0.1,4.4
13_18/19,13,29,03-Mar-19,31-Mar-19,182.7,114.1,10.0,2.2,15.7,0.1,4.3
01_19/20,1,28,01-Apr-19,27-Apr-19,156.6,101.2,8.9,2.0,13.9,0.1,4.3
02_19/20,2,28,28-Apr-19,25-May-19,175.2,106.1,9.7,2.2,14.2,0.1,4.5
03_19/20,3,28,26-May-19,22-Jun-19,171.4,108.0,9.3,2.2,13.8,0.1,4.4
04_19/20,4,28,23-Jun-19,20-Jul-19,177.0,111.7,9.6,2.3,14.8,0.1,4.6
05_19/20,5,28,21-Jul-19,17-Aug-19,149.8,103.0,9.1,2.0,12.9,0.1,4.3
06_19/20,6,28,18-Aug-19,14-Sep-19,159.8,99.4,8.7,1.6,13.5,0.1,4.3
07_19/20,7,28,15-Sep-19,12-Oct-19,179.3,112.2,9.5,2.3,17.8,0.1,4.9
08_19/20,8,28,13-Oct-19,09-Nov-19,168.9,113.3,10.0,2.2,17.1,0.1,4.9
09_19/20,9,28,10-Nov-19,07-Dec-19,176.2,117.5,9.8,2.3,15.8,0.1,5.0
10_19/20,10,28,08-Dec-19,04-Jan-20,141.0,91.2,7.5,1.9,10.6,0.1,4.3
11_19/20,11,28,05-Jan-20,01-Feb-20,169.4,105.8,9.2,2.3,14.1,0.1,5.7
12_19/20,12,28,02-Feb-20,29-Feb-20,165.2,106.2,9.3,2.2,15.6,0.1,5.2
13_19/20,13,29,01-Mar-20,31-Mar-20,126.4,60.9,6.1,1.6,13.0,0.0,3.5
01_19/20,1,28,01-Apr-20,02-May-20,30.2,5.7,1.2,0.4,1.0,0.0,0.6
02_19/20,2,28,03-May-20,30-May-20,32.5,6.7,1.4,0.5,1.5,0.0,0.7
03_19/20,3,28,31-May-20,27-Jun-20,47.0,13.3,2.1,0.7,2.8,0.0,1.2
04_19/20,4,28,28-Jun-20,25-Jul-20,66.7,22.2,2.9,1.0,4.5,0.0,1.6
05_19/20,5,28,26-Jul-20,22-Aug-20,75.2,28.8,3.6,1.0,5.1,0.1,2.0
06_19/20,6,28,23-Aug-20,19-Sep-20,94.8,36.3,4.2,1.2,6.6,0.1,2.2
07_19/20,7,28,20-Sep-20,17-Oct-20,102.0,39.5,4.5,1.4,8.5,0.0,2.5
08_19/20,8,28,18-Oct-20,14-Nov-20,88.9,33.7,4.1,1.0,7.1,0.0,2.1
09_19/20,9,28,15-Nov-20,12-Dec-20,89.0,32.1,4.0,1.1,6.6,0.0,2.1
10_19/20,10,28,13-Dec-20,09-Jan-21,57.5,18.8,2.7,0.7,3.2,0.0,1.2
11_19/20,11,28,10-Jan-21,06-Feb-21,51.6,16.8,2.7,0.7,3.5,0.0,1.2
12_19/20,12,28,07-Feb-21,06-Mar-21,56.9,19.8,3.1,0.8,4.4,0.1,1.4
13_19/20,13,29,07-Mar-21,31-Mar-21,72.9,22.4,3.3,1.0,4.8,0.1,1.5
01_21/22,1,31,01-Apr-21,01-May-21,95.61002851,37.37467228,4.889365032,1.259912104,8.647541589,0.145264,2.120411056
02_21/22,2,28,02-May-21,29-May-21,103.9757011,42.4625289,5.005304801,1.480810339,7.686087707,0.056832,2.312614833
03_21/22,3,28,30-May-21,26-Jun-21,106.645678,48.55730403,5.566634146,1.495872167,7.777896583,0.112039,2.714845605
04_21/22,4,28,27-Jun-21,24-Jul-21,108.8026069,49.58503144,5.36350358,1.502612253,9.517452015,0.104728,2.806712186
05_21/22,5,28,25-Jul-21,21-Aug-21,98.47389925,51.59766814,5.5225868,1.266967879,7.787708365,0.18938,2.8
